Date and time,Event String,Event Data String
7/15/2024 4:15:55 PM,Pilot Proved,49.579832
7/15/2024 4:15:55 PM,Pilot Proved,50.420168
7/15/2024 4:15:55 PM,Pilot Proved,51.260504
7/15/2024 4:15:55 PM,Pilot Proved,52.100840
7/15/2024 4:15:55 PM,Pilot Proved,52.941176
7/15/2024 4:15:55 PM,Pilot Proved,54.621849
7/15/2024 4:15:56 PM,Pilot Proved,55.462185
7/15/2024 4:15:56 PM,Pilot Proved,56.302521
7/15/2024 4:15:56 PM,Pilot Proved,57.142857
7/15/2024 4:15:56 PM,Pilot Proved,57.983193
7/15/2024 4:15:56 PM,Pilot Proved,58.823529
7/15/2024 4:15:57 PM,Force Draft Fan ON,TRUE
7/15/2024 4:15:58 PM,Boiler Running,11.706675
7/15/2024 4:16:29 PM,Start Shutdown Purge,10.000000
7/15/2024 4:16:39 PM,Shutdown Purge Complete,
7/15/2024 4:16:39 PM,Boiler Initialized,0
7/15/2024 4:16:43 PM,Boiler Ready,0
7/15/2024 4:16:44 PM,Start Pre-Purge,10.00
7/15/2024 4:16:49 PM,Pre-Purge Complete,10.001360
7/15/2024 4:17:09 PM,Pilot On,TRUE
7/15/2024 4:17:14 PM,Pilot Proved,30.252101
7/15/2024 4:17:14 PM,Pilot Proved,33.613445
7/15/2024 4:17:14 PM,Pilot Proved,35.294118
7/15/2024 4:17:14 PM,Pilot Proved,39.495798
7/15/2024 4:17:14 PM,Pilot Proved,42.016807
7/15/2024 4:17:14 PM,Pilot Proved,43.697479
7/15/2024 4:17:14 PM,Pilot Proved,52.941176
7/15/2024 4:17:14 PM,Pilot Proved,55.462185
7/15/2024 4:17:14 PM,Pilot Proved,56.302521
7/15/2024 4:17:14 PM,Pilot Proved,57.142857
7/15/2024 4:17:14 PM,Pilot Proved,57.983193
7/15/2024 4:17:14 PM,Pilot Proved,58.823529
7/15/2024 4:17:15 PM,Force Draft Fan ON,TRUE
7/15/2024 4:17:17 PM,Boiler Running,11.483069
7/15/2024 4:17:21 PM,Start Shutdown Purge,10.000000
7/15/2024 4:17:31 PM,Shutdown Purge Complete,
7/15/2024 4:17:31 PM,Boiler Initialized,0
7/16/2024 9:48:28 AM,Boiler Initialized,0
